,device_id,events_num,min_timestamp,max_timestamp,events_per_day,label_548,label_i_548,label_704,label_i_704,label_549,label_i_549,label_405,label_i_405,label_713,label_i_713,label_730,label_i_730,label_302,label_i_302,label_756,label_i_756,label_251,label_i_251,label_303,label_i_303,label_1007,label_i_1007,label_775,label_i_775,label_710,label_i_710,label_783,label_i_783,label_714,label_i_714,label_786,label_i_786,label_252,label_i_252,label_721,label_i_721,label_172,label_i_172,label_779,label_i_779,label_757,label_i_757,label_959,label_i_959,label_960,label_i_960,label_306,label_i_306,label_782,label_i_782,label_263,label_i_263,label_128,label_i_128,label_777,label_i_777,label_179,label_i_179,label_787,label_i_787,label_22222,label_i_22222,weekday_morning,weekday_daytime,weekday_evening,weekday_night,weekend_morning,weekend_daytime,weekend_evening,weekend_night,gender,age,group,phone_brand,device_model,phone_brand_eng
0,-8076087639492063270,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,35,M32-38,小米,MI 2,Xiaomi
1,-2897161552818060146,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,35,M32-38,小米,MI 2,Xiaomi
2,-8260683887967679142,1,2016-05-01 14:23:37,2016-05-01 14:23:37,0.0,5,30,3,24,3,15,0,5,0,11,0,3,2,11,0,2,0,3,2,4,0,1,0,3,0,4,0,2,2,4,0,1,0,1,1,4,0,0,0,2,0,1,0,0,0,0,0,8,0,0,0,2,1,2,0,0,1,6,0,0,4,102,0,0,0,0,0,1,0,0,M,35,M32-38,小米,MI 2,Xiaomi
3,-4938849341048082022,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,30,M29-31,小米,红米note,Xiaomi
4,245133531816851882,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,30,M29-31,小米,MI 3,Xiaomi
5,-1297074871525174196,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,24,F24-26,OPPO,R1C,OPPO
6,236877999787307864,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,36,M32-38,酷派,F2,Coolpad
7,-8098239495777311881,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,38,M32-38,小米,红米note,Xiaomi
8,176515041953473526,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,33,M32-38,vivo,X3T,vivo
9,1596610250680140042,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,36,F33-42,三星,Galaxy S4,samsung
10,9032155484127182494,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,31,M29-31,华为,Mate 7,Huawei
